Class,Email
Account,['FW <NAME> <NAME> OSS signed forms All Im just checking through recent emails and I havent ticked this one off If I havent asked already then can you please set up <COMPANY> as live on OSS I have saved the signoff form to the Gdrive and updated Easiadmin The customer id is <NUMBER> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>']
Weight,['<NUMBER> <COMPANY> <PRODUCT> Weight Can you please find the weight of this <PRODUCT> for me']
Account,['<COMPANY> Can I please have login details for <COMPANY> on the learner OSS site please <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <EMAIL> ']
Information,['<PRODUCT> shape limitations I am trying to get the <NAME> splits closer to the point but the picture shows it wont let me get any closer than <LENGTH> can you help please this is an order for a very inpatient customer so they will be on my back soon if it will take a while can you let me know please and Ill just send the logikal one <NAME> <NAME> <EMAIL> ']
Forward,['FW PDF AMENDMENT REQUEST <NAME> Can you please see the request below from <NAME> at <COMPANY> The customer id is <NUMBER> but it was formerly <NUMBER> <NAME>']
Information,['<COMPANY> <NUMBER> <NUMBER> This customer has forwarded to us on order raised in OSS that is not appearing in our system I am thinking that probably they have used the testing version Could you confirm what happens here please <NAME>']
Pricing,['FW Quote <STYLE> QUOTE ID <NUMBER> Please can you take a look into this quotation The customer has had this quoted on <STYLE> and <STYLE> by <NAME> and has noticed that the price difference is very minimal under <NUMBER> Please speak to <NAME> if you require any further information in advance <NAME> <NAME>']
Account,['FW OSS New Account Could you set up a new account for <COMPANY> please Please see below <NAME>']
Account,['Login to <COMPANY> ID <NUMBER> <NAME> from <COMPANY> has issues to login in OSS Below details was given to him Email <EMAIL> <EMAIL> Could you check if they have been blocked please As apparently he has tried several times to login Please provide full link in case he is missing any login details <NAME> <NAME> <NAME> <EMAIL> ']
Reminder,['FW <PRODUCT> <PRODUCT> Showing handle position on finished quote order OSS FYi Have you an update in this yet The picture the Oss user sees needs to show either the handle location ie left or right hand side of the <PRODUCT> if you cant do that the hinges would be the next best thing This would help to stop handing of the <PRODUCT> mistakes by the customer <NAME>']
Delivery,['Subject RE <NUMBER> Unique EA Team – Please amend delivery date to todays date']
Feedback,['FW <PRODUCT> on OSS All Can you please find below the feedback request for <PRODUCT> on OSS from <NAME> at <COMPANY> <NAME>']
Information,['<PRODUCT> and trickle vents Quote ID <NUMBER> OSS is allowing our <PRODUCT> of this width to have trickle vents when turned into a normal left hung and right hung is disallows this Please advise']
Gables,['FW <PRODUCT> sign off for <COMPANY> customer id <NUMBER> All Could you please set up the live <PRODUCT> tab for <COMPANY> The customer id is <NUMBER> I will save the signoff form to the Gdrive <NAME>']
Forward,['FW <COLOUR> Colour error on <STYLE> This is the one that is still not working']
Documents,['Project Id <NUMBER> Just to follow up our conversation just now the customer is having trouble generating the quotation and when I went on to do the same it stated an error has occurred I said id give the customer a call as soon as weve sorted the issue']
Pricing,['FW Automatic reply <NAME> Please could you advise as to why the balance is coming up as <NAME> <NAME>']
Callback,['Fwd Origin US <NAME> <NAME> from Origin US called for you but I was unable to transfer her Could you give her a call back please when youre available please <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <EMAIL> <EMAIL>']
Information,['<NUMBER> <COMPANY> Can you please let me know whether this customer is live <NAME>']
Account,['FW OSS Training <COMPANY> <NUMBER> Could you please send the live link and password for the attached new customer They are now ready to go live <NAME> ']
Account,['OSS LIVE QUOTE ONLY <NUMBER> <COMPANY> Can you please set up the below Direct customer live on OSS but as QUOTE ONLY Customer <NUMBER> Company <COMPANY> Once done can you please send over their credentials so I can forward over to the customer <EMAIL>']
Reminder,['Ticket <NUMBER> Sent from Snipping Tool I believe one of us sent you an email about the attached photo on <DATE> can I have an update please as <NAME> <NAME> is chasing <EMAIL> error is stopping the box labels generate Please could you take a look into this <NAME> <NAME>']
