Predicted Class,True Class,Email
Weight,Template,<COMPANY> <NUMBER> Could you please change the finger pull setting on even number <PRODUCT> sets for the <COMPANY> account to NO as a standard please <NAME>
Information,Information,FW We have received the below email OSS generated the glass sizes which look quite unusual I ran it by <NAME> <NAME> and he did agree that he has not seen so many decimal points before and advised I should speak to you Please could you look into it and advise <NAME> <NAME>
Colour,Action,<PRODUCT> <COLOUR> handle for <STYLE> OSS team <NAME> has advised that the <COLOUR> colour option is missing for the <PRODUCT> handle range on <STYLE> the only option is <COLOUR> Please can we add the <PRODUCT> <COLOUR> handle as an option Its listed in the BOM on <NUMBER> Let me know if theres any reason why we cant <NAME>
Documents,Documents,Generating documents <COMPANY> Quote <NUMBER> The customer and I are both struggling to generate the documents <NAME> <NAME> <NUMBER> <NUMBER> <EMAIL>
Account,Account,OSS learn login details <COMPANY> <NUMBER> <ADDRESS> ID <NUMBER> Could you please send login details for the above account email address to use is <EMAIL> <EMAIL> training has been booked for <NUMBER> <NUMBER> <NUMBER> <NAME>
Account,Account,Urgent login codes All Can I please have the learn login codes for the following companies <COMPANY> customer id <NUMBER> <COMPANY> were live for ordering but the company has recently been sold to a new owner who is using the email address <EMAIL> <EMAIL> <COMPANY> customer id <NUMBER> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Account,Account,OSS LIVE QUOTE ONLY <NUMBER> <COMPANY> Can you please set up the below Direct customer live on OSS but as QUOTE ONLY Customer <NUMBER> Company <COMPANY> Once done can you please send over their credentials so I can forward over to the customer <EMAIL>
Logo,Template,New configurations OSS <COMPANY> customer ID <NUMBER> All Can you please arrange for new OSS configs to be setup for customer <COMPANY> customer ID <NUMBER> <NAME> <NAME> <EMAIL> 
Status,Status,Order <NUMBER> Morning Chaps Ive been an idiot sorry this seems a weekly occurrence please can you change the status on order <NUMBER> to awaiting final payment
Account,Account,New OSS Account <NUMBER> <COMPANY> Can you please create a new OSS account for the following customer Customer <NUMBER> Company <COMPANY> Contact <NAME> <NAME> Please use the following email address as the user log in <EMAIL> <EMAIL> This customer doesnt require any OSS training and can be set up as LIVE <NAME> has worked with us previously through another company <NUMBER> <COMPANY> however his partner is retiring at the end of the year so hes going solo with this new company <COMPANY> <NAME> <NAME> has confirmed this and has asked if they can be set up Live on OSS ASAP as <NAME> is keen to start placing orders on the new account <NAME> also confirmed that he would like the OSS account for <COMPANY> to remain open for the time being as he still needs access to existing orders quotations and that orders will still be placed on this account up until <DATE> He said he will advise when this account can be closed but it will definitely be in <DATE> When this is confirmed I will be sure to pass this on Once the new OSS account is set up please confirm the log in credentials so I can this to the customer <NAME> I thought Id copying you in as Im not sure needed to be kept in the loop on these type of things I dont believe anything needs to be actioned your end <EMAIL>
